iter	Logloss
0	0.6589548992
1	0.6287683051
2	0.605709505
3	0.5867041443
4	0.5708228327
5	0.5583857892
6	0.5471420681
7	0.5389078358
8	0.5314792618
9	0.5258777792
10	0.5200743845
11	0.516152447
12	0.5118503385
13	0.5088659005
14	0.5056330715
15	0.5029145134
16	0.5005162742
17	0.4983756516
18	0.4968704936
19	0.4955167558
20	0.4940818441
21	0.4926808334
22	0.4918316958
23	0.4907746292
24	0.4899287024
25	0.4891266013
26	0.4883479015
27	0.4876289097
28	0.4871216744
29	0.4867024505
30	0.4861017808
31	0.4855765298
32	0.4850254782
33	0.4845406844
34	0.4840691652
35	0.4839185877
36	0.483603686
37	0.4832187058
38	0.4829442214
39	0.4826750937
40	0.4824852006
41	0.4821938902
42	0.4819598881
43	0.4818523972
44	0.4815484896
45	0.481393545
46	0.4811801827
47	0.4809378334
48	0.4806431935
49	0.4803778922
50	0.480303333
51	0.4801637951
52	0.4800065203
53	0.4798341694
54	0.4797116083
55	0.4795300534
56	0.4794031132
57	0.4792876822
58	0.4791369518
59	0.478966541
60	0.4787893406
61	0.4786624208
62	0.478522462
63	0.4783940443
64	0.4782957428
65	0.4781226089
66	0.4780631083
67	0.4778703225
68	0.477728008
69	0.4776560053
70	0.4776218763
71	0.4775612072
72	0.4774084375
73	0.4772663486
74	0.4771832196
75	0.4770995783
76	0.4769948037
77	0.4768405702
78	0.47674515
79	0.476642091
80	0.4765479593
81	0.4764437733
82	0.4762924965
83	0.4762032635
84	0.4761289771
85	0.476060932
86	0.4759772732
87	0.4758989244
88	0.4758045702
89	0.4757220359
90	0.4756532226
91	0.4755954657
92	0.4755105128
93	0.4753755567
94	0.4752983585
95	0.4752297519
96	0.4750836908
97	0.4749375258
98	0.4748582252
99	0.4747648352
