iter	Passed	Remaining
0	72	7197
1	143	7028
2	221	7150
3	309	7438
4	390	7427
5	478	7489
6	557	7402
7	640	7365
8	713	7213
9	785	7068
10	867	7022
11	979	7180
12	1067	7142
13	1147	7046
14	1234	6995
15	1309	6876
16	1393	6803
17	1461	6655
18	1540	6568
19	1641	6566
20	1723	6482
21	1802	6390
22	1878	6288
23	1964	6221
24	2038	6115
25	2106	5994
26	2184	5907
27	2258	5806
28	2342	5734
29	2432	5675
30	2538	5649
31	2613	5552
32	2693	5468
33	2767	5372
34	2843	5281
35	2915	5182
36	3011	5127
37	3083	5031
38	3154	4934
39	3231	4846
40	3299	4748
41	3367	4649
42	3442	4562
43	3523	4484
44	3611	4414
45	3694	4337
46	3779	4261
47	3863	4185
48	3938	4099
49	4022	4022
50	4091	3930
51	4165	3844
52	4239	3759
53	4309	3670
54	4387	3589
55	4464	3507
56	4539	3424
57	4622	3347
58	4698	3264
59	4769	3179
60	4842	3096
61	4918	3014
62	5003	2938
63	5080	2857
64	5149	2772
65	5234	2696
66	5317	2619
67	5389	2536
68	5464	2455
69	5543	2375
70	5632	2300
71	5702	2217
72	5791	2142
73	5868	2061
74	5946	1982
75	6020	1901
76	6092	1819
77	6163	1738
78	6239	1658
79	6319	1579
80	6401	1501
81	6482	1423
82	6569	1345
83	6650	1266
84	6730	1187
85	6798	1106
86	6863	1025
87	6942	946
88	7015	867
89	7095	788
90	7172	709
91	7253	630
92	7323	551
93	7403	472
94	7472	393
95	7544	314
96	7626	235
97	7708	157
98	7786	78
99	7860	0
